"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.69001655547386e-08,2.61154104088263,0.655,0.135,0.00215987184493474,"17","Knstrn"
7.11493027026315e-08,2.72743165512636,0.574,0.11,0.00229705523775446,"17","Depdc1b"
7.1436441901948e-08,1.73295862820028,0.853,0.38,0.00230632552680439,"17","Rpa3"
7.17404260897522e-08,2.87443985940906,0.506,0.082,0.00231613965630765,"17","Uchl1"
7.48459999563153e-08,3.18828116964682,0.601,0.053,0.00241640310858964,"17","Slamf7"
8.11519894550507e-08,1.51295085543172,0.853,0.408,0.00261999197955631,"17","Ube2a"
8.12688059589829e-08,1.78097884387424,0.626,0.192,0.00262376340038576,"17","Chaf1a"
8.4636240582694e-08,1.59392410541992,0.915,0.457,0.00273248102721228,"17","Usp1"
8.73398133813303e-08,2.25110348538217,0.655,0.128,0.00281976587501625,"17","Tk1"
9.58281360692774e-08,1.08034773588158,0.965,0.702,0.00309381137299662,"17","Smc3"
9.65970910658836e-08,1.38800648572119,0.946,0.721,0.00311863708506205,"17","Dynll1"
9.75114226202959e-08,0.656363806850504,0.971,0.763,0.00314815627929625,"17","Ewsr1"
9.78610712831004e-08,1.43864704678329,0.878,0.487,0.0031594446863749,"17","Lsm2"
1.08782439206898e-07,1.28911747169469,0.86,0.473,0.00351204104979471,"17","Fmr1"
1.1283097522234e-07,2.66479160113951,0.663,0.128,0.00364274803505324,"17","Bard1"
1.18981685951948e-07,1.25670131987987,0.915,0.589,0.00384132373095864,"17","Nudt21"
1.21379919921578e-07,1.0428016866859,0.624,0.257,0.00391875071466816,"17","Ifngr2"
1.23157811920039e-07,0.702788473003493,0.839,0.568,0.00397614995783847,"17","Mtch1"
1.24442091904581e-07,3.43342700852173,0.585,0.059,0.00401761293713941,"17","Sorcs2"
1.24645157069075e-07,3.04151872789872,0.448,0.037,0.00402416889597507,"17","Fam129c"
1.25980019133764e-07,1.1869235475623,0.824,0.356,0.00406726491773356,"17","Rbbp8"
1.28410239938963e-07,0.995359556314842,0.926,0.655,0.00414572459642941,"17","Dbi"
1.2971699591225e-07,2.58320560044105,0.886,0.353,0.004187913213027,"17","Prep"
1.33334310563338e-07,1.21189853272626,0.961,0.736,0.00430469821653736,"17","Tspan13"
1.36076012454659e-07,2.41032891802735,0.614,0.129,0.00439321406209866,"17","Brca1"
1.36145150636842e-07,1.3605670636803,0.804,0.4,0.00439544618831045,"17","Mms22l"
1.51538120250527e-07,1.4277785617265,0.818,0.407,0.00489240821228827,"17","Rbl1"
1.62316753942203e-07,1.376265826214,0.919,0.594,0.00524039640102402,"17","Slc10a7"
1.6387325350883e-07,0.967089738228763,0.74,0.426,0.00529064798953259,"17","Cep57"
1.64543484334465e-07,1.41095628874294,0.913,0.433,0.00531228639173819,"17","Lgals1"
1.68074538911721e-07,1.1049618874844,0.862,0.483,0.0054262864887649,"17","Cerk"
1.73387289320886e-07,1.82430067387342,0.548,0.155,0.0055978086357248,"17","Lamc1"
1.73433623114878e-07,4.72650812312499,0.378,0.01,0.00559930452226384,"17","1810059H22Rik"
1.73433623114878e-07,1.11169186245108,0.298,0.009,0.00559930452226384,"17","Ighg2b"
1.85323992525848e-07,2.38695001274473,0.632,0.157,0.005983185098697,"17","Ccdc18"
1.96153181035578e-07,0.670127994888257,0.934,0.699,0.00633280544973364,"17","Bzw1"
2.07992297021511e-07,0.804320768600312,0.831,0.536,0.00671503130933948,"17","Lrrc8c"
2.15037748242375e-07,1.86912021453252,0.709,0.251,0.00694249370200509,"17","Prim1"
2.22344877730598e-07,1.38597619755662,0.936,0.665,0.00717840437753236,"17","Rbbp4"
2.32054985423915e-07,1.34840587187203,0.957,0.579,0.0074918952044111,"17","Dgkd"
2.33655808943294e-07,1.95352668413832,0.738,0.267,0.00754357779173423,"17","Trim59"
2.41773121841131e-07,1.47599993336822,0.837,0.449,0.0078056452386409,"17","Ssna1"
2.51013074768516e-07,0.932881083366938,0.872,0.574,0.00810395711890155,"17","Psmd8"
2.54981512685414e-07,4.31818604985227,0.442,0.013,0.00823207813704859,"17","Colq"
2.57563691508084e-07,2.47034989699043,0.899,0.438,0.0083154437803385,"17","Cks2"
