"","mutant_1","mutant_2","mutant_3","mutant_4","wt_1","wt_2","wt_3","wt_4"
"Gm30504",1,0,0,2,2,3,5,1
"Gm6329",0,0,0,0,0,0,0,0
"F11",0,1,1,1,0,4,0,1
"Klkb1",10,14,12,7,41,30,38,20
"Cyp4v3",880,885,615,526,1712,1602,1886,1308
"Fam149a",35,47,27,24,31,34,29,26
"Tlr3",277,203,156,192,331,383,427,281
"Gm45542",6,4,7,3,9,10,10,5
"Sorbs2",101,103,87,91,300,241,389,283
"Gm16351",0,0,0,0,0,0,0,1
"Sorbs2os",6,8,2,2,24,20,26,12
"Pdlim3",0,1,0,1,3,3,3,4
"Ccdc110",0,0,0,1,1,1,2,1
"1700029J07Rik",323,345,218,202,490,552,619,464
"Ufsp2",1662,1692,1330,1041,2674,3094,3313,2335
"Ankrd37",149,133,101,71,197,221,199,184
"Lrp2bp",25,34,18,19,51,41,59,39
"Snx25",1252,1297,877,768,3325,3519,3713,2712
"Cfap97",1936,2149,1472,1055,3391,3690,3846,2817
"Gm15634",4,4,1,2,8,18,15,3
"Slc25a4",6231,6215,4195,3016,8121,9615,9373,6991
"Helt",0,0,0,0,0,0,0,0
"Gm39168",0,0,0,2,1,0,0,0
"Gm30931",0,0,0,0,0,0,0,0
"Gm45253",0,0,0,0,0,0,0,0
"Acsl1",1729,1564,1209,1029,3744,3734,4503,3641
"Cenpu",563,629,386,240,826,1005,1069,872
"Primpol",1440,1509,976,727,2359,2599,2935,2107
"Gm45607",2,1,0,1,4,4,5,3
"Casp3",2451,2524,1700,1235,4078,4835,4855,3961
"Gm16675",340,353,263,215,706,658,777,530
"Irf2",12047,13619,8991,7454,23557,23024,26568,18634
"Gm45479",522,577,365,379,1246,1000,1276,866
"Gm31172",23,21,13,19,73,62,57,34
"1700011L03Rik",1,0,1,1,2,1,2,1
"Enpp6",135,113,81,68,270,242,247,122
"Gm45600",0,1,2,1,11,4,2,3
"4930579M01Rik",0,0,0,0,0,0,0,0
"E330018M18Rik",1,3,1,3,7,8,10,4
"Stox2",209,180,219,137,244,338,312,248
"Trappc11",982,984,726,524,1676,1784,1964,1457
"Rwdd4a",1593,1545,1095,765,2266,2819,2847,2076
"Gm45576",0,2,0,1,0,0,0,1
"Ing2",1185,1149,808,606,1978,2073,2150,1751
"AA386476",459,524,372,308,722,774,912,642
"Cdkn2aip",916,948,606,435,1485,1499,1599,1259
"E030037K01Rik",35,37,16,21,35,31,32,33
"Gm31786",0,0,1,0,1,3,1,0
"Gm45824",1,1,0,0,0,3,0,0
"Gm45864",1,0,0,1,0,1,0,0
"1700061N14Rik",3,2,1,1,3,0,1,0
"Cldn24",0,0,0,0,0,0,0,0
"Wwc2",4000,3932,2900,2338,6312,6749,7249,5366
"Cldn22",0,0,0,0,0,0,0,0
"Gm32052",0,1,0,0,0,1,0,0
"Dctd",2183,2023,1452,968,2759,3653,3619,2639
"Tenm3",36,44,41,31,138,129,131,108
"Gm19744",0,1,1,0,2,1,2,0
"Gm45830",0,0,0,0,0,0,0,0
"Gm45829",0,0,0,0,1,0,0,0
"4930555F03Rik",0,1,1,0,1,3,4,1
"Gm45321",2,1,0,0,4,5,5,2
"Gm45322",0,0,0,0,0,1,0,0
"Gm45323",0,0,0,0,0,1,0,0
"Gm45341",0,0,0,0,0,0,1,0
"Gm45455",0,0,0,0,0,0,0,0
"Gm2516",0,0,0,1,0,0,0,0
"C130073E24Rik",2,8,3,1,2,2,10,6
"Gm32975",0,0,0,0,0,0,0,0
"Gm45389",0,0,0,0,0,0,0,0
"Gm45388",0,0,0,0,1,0,0,0
"1190028D05Rik",0,0,0,0,0,0,0,0
"Gm45554",0,4,8,1,9,12,11,1
"Aga",992,1033,682,574,1521,1737,1776,1318
"Neil3",1517,2110,1204,776,1952,3025,3039,2579
"Vegfc",2138,2098,1621,1354,3705,3360,3963,2981
"Spcs3",2276,2097,1712,1320,3242,4684,4583,3408
"Asb5",266,306,203,181,502,585,664,408
"5330439A09Rik",0,3,0,1,1,0,2,1
"Spata4",0,0,0,0,0,0,0,0
"Wdr17",112,134,110,127,233,237,228,170
"Gm15758",2,0,0,1,0,1,0,0
"Gpm6a",92,105,200,133,93,205,116,117
"Adam29",2,0,1,1,3,2,1,1
"Glra3",0,1,1,5,4,2,2,1
"Hpgd",318,292,238,330,2522,3258,2453,1334
"4930518J21Rik",0,0,0,0,0,0,0,0
"Cep44",1023,1113,775,559,1439,1646,1741,1349
"Fbxo8",1310,1358,905,760,2153,2282,2573,1924
"Gm33501",2,0,1,0,1,0,1,2
"Hand2os1",10,9,6,7,4,12,11,7
"Hand2",0,0,0,0,0,0,0,0
"Gm34030",0,0,0,0,0,0,0,0
"5033428I22Rik",0,0,0,0,0,0,0,0
"Gm34099",0,0,0,0,1,0,2,1
"Scrg1",22,11,19,28,69,65,68,104
"Sap30",1616,1581,1042,756,2019,2401,2554,2027
"2500002B13Rik",158,176,131,98,254,262,302,210
"Hmgb2",29576,33415,24256,15393,36827,50092,54062,48359
"Galnt7",3753,3868,2712,2299,6446,6980,7953,5827
"AW046200",212,264,207,173,405,464,542,324
"Gm45359",12,10,12,6,12,15,30,20
"Gm45356",30,37,52,38,65,72,80,48
"Galntl6",25,25,17,13,43,40,41,35
"Gm15882",0,0,0,0,0,0,0,0
"BC030500",0,0,0,0,0,0,0,0
"Gm34370",0,0,0,0,0,0,0,0
"4930470O06Rik",0,0,0,1,2,1,1,0
"Gm34623",7,7,10,4,8,4,10,8
"Gm10283",0,0,0,0,3,0,1,0
"Aadat",0,0,0,1,6,2,2,2
"Gm34730",2,3,2,2,5,2,6,6
"Mfap3l",103,78,67,60,185,187,216,199
"Gm45650",0,0,0,0,1,0,1,0
"Hpf1",4098,4243,2972,1936,5502,7637,7357,5742
"Clcn3",3633,3587,2645,2148,6614,7349,8012,6106
"B230317F23Rik",74,115,68,54,162,142,167,101
"Nek1",1887,2101,1444,1098,3289,3492,3917,2798
"Gm16178",46,40,28,16,102,69,65,34
"Sh3rf1",1854,1864,1474,949,2828,3465,3558,2685
"1700001D01Rik",7,3,4,3,7,15,9,8
"Cbr4",499,572,339,290,830,871,974,709
"Palld",2008,1854,1578,1438,4366,4582,4447,3398
"4930512H18Rik",67,52,60,60,200,163,179,111
"Gm45418",27,38,17,22,55,64,81,46
"Ddx60",2211,2272,1514,1388,5082,5082,5748,4082
"Anxa10",37,32,20,24,54,61,59,31
"Gm45460",0,0,0,0,0,1,0,0
"Gm45459",1,1,1,3,1,9,4,0
"Gm45462",0,0,0,0,0,0,0,0
"Spock3",6,2,0,5,11,13,7,9
"Gm35368",0,0,0,0,0,0,0,0
"Gm45589",0,0,0,0,0,0,1,0
"Sgo2b",0,0,1,0,2,0,1,2
"Tll1",1,0,1,0,0,2,4,1
"Gm35521",0,0,0,0,0,0,1,0
"Cpe",15,12,4,2,4,13,31,2
"Gm45518",1,1,0,1,1,4,3,2
"Msmo1",983,991,555,493,2099,2184,2154,2041
"Klhl2",2951,3140,2169,1565,5831,6126,6472,4933
"Gm45345",72,96,62,29,169,137,185,119
"Gm32507",0,0,0,0,0,0,0,0
"Tmem192",1393,1233,899,635,2017,2197,2468,1911
"Trim75",0,0,1,0,0,0,0,0
"Trim60",0,0,0,0,1,1,0,0
"Trim61",0,0,0,0,0,0,0,0
"Apela",0,0,0,0,0,0,0,0
"Gm10663",0,0,0,0,0,0,0,0
"Smim31",1,2,1,1,3,2,4,2
"March1",924,749,655,916,1564,1942,2047,1687
"Gm15354",0,4,2,2,6,5,5,3
"Gm15356",4,1,2,5,3,4,4,2
"Tma16",1466,1428,1089,790,2129,2681,2482,1905
"Gm32568",0,0,0,0,0,0,0,0
"Tktl2",0,0,0,0,1,0,0,0
"Npy5r",0,0,0,0,0,1,0,0
"Npy1r",2,0,1,2,2,3,1,0
"Gm45911",0,0,0,0,1,0,0,0
"Naf1",1782,1614,1138,842,2158,3058,2862,2224
"Gm39185",6,5,2,0,11,12,10,12
"Gm45827",0,0,0,0,0,0,0,0
"Gm10660",0,0,0,1,0,0,0,0
"Nat1",37,34,13,8,60,54,55,57
"Nat2",441,441,301,251,714,810,861,631
"Nat3",0,0,0,0,0,1,0,0
"Psd3",11498,11966,7842,5796,12523,12670,14659,11361
"Gm15991",266,242,197,156,541,577,580,410
"Sh2d4a",41,60,32,24,108,144,156,125
"Csgalnact1",9522,10621,7893,6404,23145,21655,25505,19501
"1700125H03Rik",4,7,7,6,22,18,25,19
"Gm15656",3,3,9,5,18,11,13,15
"Ints10",1216,1266,835,603,1810,2080,2116,1685
"Lpl",295,216,189,363,2446,3479,2551,1595
"Gm33103",0,3,1,2,3,2,0,4
"Slc18a1",465,452,295,202,751,763,709,621
"Gm15716",24,17,11,20,40,40,23,25
"Atp6v1b2",2362,2382,1728,1360,4313,4719,4914,3962
"Lzts1",472,469,319,270,404,401,428,344
"Zfp930",898,974,635,494,1462,1617,1697,1229
"D130040H23Rik",1388,1499,1078,917,3033,2907,3145,2227
"Gm45848",0,0,1,0,0,0,0,0
"Gm9495",0,0,0,0,0,0,0,0
"Gm43263",0,1,0,0,2,0,2,0
"Gm7697",2,0,2,0,4,2,0,0
"Zfp868",712,722,440,396,1155,1122,1352,923
"Zfp964",67,64,44,48,136,149,182,100
"Zfp869",1782,1696,1044,898,3270,3140,3577,2589
"Zfp963",312,311,206,181,440,458,552,397
"Zfp866",1219,1501,969,790,2073,2352,2599,1840
"Atp13a1",1157,1123,821,623,1816,2183,2203,1784
"Gmip",1645,1654,1177,999,2823,3030,3287,2765
"Lpar2",153,163,91,70,198,224,231,192
"Pbx4",1940,2113,1326,936,2799,2926,3178,2490
"Cilp2",11,11,5,4,10,16,18,9
"Yjefn3",56,64,40,37,121,144,112,88
"Ndufa13",8485,8962,6474,5003,12918,15196,15824,11292
"Tssk6",11,16,17,10,17,31,24,12
"Gatad2a",3306,3404,2352,1684,5329,6191,6411,4985
"Mau2",2724,2761,1906,1483,4670,4902,5602,3986
"Sugp1",1306,1305,928,690,2118,2236,2441,1712
"Tm6sf2",4,5,3,1,15,16,20,10
"Hapln4",0,0,0,0,1,0,0,0
"Ncan",1,0,0,1,5,6,2,0
"Rfxank",408,386,282,202,663,641,717,534
"Nr2c2ap",1528,1382,977,715,1930,2301,2317,1645
"Borcs8",1359,1420,1038,736,1838,2182,2312,1591
"Mef2b",607,659,437,381,1147,1179,1318,946
"Tmem161a",715,698,473,345,1049,1147,1263,954
"Slc25a42",186,221,128,98,384,449,441,404
"Armc6",271,267,196,132,392,472,502,397
"Sugp2",2820,2787,1837,1498,5111,5191,5847,3985
"Homer3",1269,1403,862,702,1828,2070,2163,1733
"Ddx49",1275,1379,851,594,1739,2103,2098,1542
"Cope",3653,3643,2852,2129,5140,6628,6435,4649
"Cers1",11,14,9,12,34,24,36,30
"Gdf1",0,0,0,0,0,0,0,0
"Upf1",1790,1728,1221,845,2446,3106,3183,2494
"Comp",32,31,19,21,50,42,45,36
"Crtc1",1578,1669,1100,756,2682,2794,3089,2201
"Klhl26",659,683,465,372,896,984,1085,837
"Tmem59l",2,4,3,2,7,11,12,5
"Crlf1",5,5,3,4,5,32,23,11
"Rex1bd",3263,3350,2307,1568,4318,5867,5618,4283
"Uba52",9153,7805,6167,4745,16395,17282,17369,12833
"Kxd1",2798,2927,2044,1581,3962,4429,4856,3519
"Fkbp8",3218,3083,2219,1611,4332,5190,5440,4327
"Ell",1378,1501,947,752,2307,2481,2646,1950
"Isyna1",1157,1056,785,585,1307,1698,1612,1328
"Ssbp4",1911,2069,1452,986,2287,2847,2716,1937
"Lrrc25",175,163,110,142,387,423,414,268
"Gdf15",33,31,28,12,121,159,161,76
"Pgpep1",601,611,446,353,1033,1139,1218,903
